datetime,comment,satisfaction
2024/3/11,駅前に若者が集まっている(AA駅),1
2024/2/25,スポーツできる場所があるのが良い,5
2024/2/18,子育て支援が嬉しい,5
2024/4/9,保育園に入れる（待機児童なし）,4
2024/1/6,駅前商店街が寂しい,2
2024/1/12,生活は便利だけど遊ぶ場所がない,3
2024/2/2,遊ぶ場所がない,2
2024/4/6,商業施設が出来て欲しい,3
2024/4/17,病院が充実している,4
2024/3/7,サイクリングコースが良い,5
2024/2/15,お祭りをもっと盛り上げて欲しい,2
2024/2/17,小学校が綺麗で嬉しい,4
2024/3/6,公園がもっと欲しい,2
2024/1/9,近くに公園があって住みやすい,4
2024/1/3,スーパーまで行くのが大変,1
2024/1/2,子育てしやすい,4
2024/3/6,デートスポットが欲しい,3
2024/2/12,もっと商店街を盛り上げてほしい,4
2024/3/15,夜道が暗い(BB地区),1
2024/2/20,ゴミ処理が楽,4
2024/2/13,映画館が欲しい,2
2024/3/19,もっと街路樹が欲しい,3
2024/4/21,もう少し公園を追加して欲しい,2
2024/1/1,観光スポットがない,1
2024/2/25,子育てがしやすい,4
2024/2/26,道が綺麗,4
2024/2/27,都内へのアクセスが良い,5
2024/2/28,家賃がリーズナブル,4
2024/2/29,BBBの渋滞をなんとかして欲しい,2
2024/3/1,商店街に屋根がないから雨が降ると大変,2
2024/3/2,商店街にもっとたくさん喫茶店が欲しい,2
2024/3/3,スポーツジムがあってよく利用している,4
2024/3/4,スポーツジムの利用料金が高い,2
2024/3/5,働くママの支援をもっと増やして欲しい,2
2024/3/6,バスがあまりこない,1
2024/3/7,自転車で走りやすい,4
2024/3/8,ランニングとか運動できる場所が多い,5
2024/3/9,有名な企業が多い,3
2024/3/10,駅前に駐車場が足りない,1
2024/3/11,変なおじさんに声を掛けられた事がある。警察の巡回をもっと強化してほしい,1
2024/3/12,消防団が活発で安心できる,4
2024/3/13,,3
2024/3/14,災害時の避難場所が少ない気がする。,2
2024/3/15,最近川の氾濫被害が大きく取り扱われているが、この町ではどのような氾濫防止を取っているか説明してほしい,3
2024/3/16,信号のない交差点がｘｘｘにあり事故が起きそうで怖い、信号を付けて欲しい。,1
2024/3/17,商店街の活性化活動をもっと行政が後押ししてほしい,1
2024/3/18,子どもが安全に遊ぶ場所がない,1
2024/3/19,駅前に駐輪場が無いので不便,1
2024/3/20,街路樹の落ち葉の掃除が大変、街路樹をやめてほしい,1
2024/3/21,災害時の備蓄状況はどうなっているか,2
2024/3/22,歩道が広い道が多くて安心できる,4
2024/3/23,地域の自治体をもっと支援してほしい,2
2024/3/24,自治体の活動が頻繁で安心して暮らせる,5
2024/3/25,観光地が少ない,1
2024/3/26,最近他県ナンバーの車が多い、防犯はちゃんと出来ているのか,1
2024/3/27,駐車場の数が少ないし、料金が高い。駅前に公共駐車場を作って欲しい,1
2024/3/28,歩行者用信号が変わるのが早い。老人や子供の事を考えて設定してほしい,2
2024/3/29,急行が止まるので都内へ出やすくて良い,4
2024/3/30,バスの路線を増やしてほしい,1
2024/3/31,春の桜並木が最高に綺麗。もっと桜並木を増やしてほしい^^,5
2024/4/1,隣町にできたごみ処理施設が心配、公害は大丈夫？,2
2024/4/2,市長が若くて活気がある,4
2024/4/3,アンケートをちゃんと確認して街づくりに反映してくれている姿勢が良い,5
2024/4/4,先月の職員不正事件について、もっと詳細に説明してほしい,1
2024/4/5,役所の担当者が無愛想で気に入らない,1
2024/4/6,役所の出張所を駅前に作って欲しい,3
2024/4/7,役所が土日も開いていて助かる,5
2024/4/8,災害時の避難経路をもっと分かりやすく表示してほしい,2
2024/4/9,市のホームページが奇麗で分かりやすい,5
2024/4/10,,2
2024/4/11,役所に電話しても繋がらない。もっと対応者を増やして下さい,1
2024/4/12,細い路地に街頭が少なくて怖い,1
2024/4/13,動物園が欲しい,3
2024/4/14,冬場、路面凍結で事故が多い、対応できませんか,1
2024/4/15,自然が豊かでとても過ごしやすい,4
2024/4/16,野良猫による糞害がひどい、行政で野良猫対策はしないのか,1
2024/4/17,役所に相談しに行ったとき、とても親身に対応してくれた,5
2024/4/18,高速道路へ出る道が狭くて渋滞がひどい。拡幅してほしい,1
2024/4/19,まちのマスコットとかを作ったらどうか,2
2024/4/20,夜間対応してくれる病院が少なくて不安,1
2024/4/21,高齢者のサポート施設が欲しい,2
2024/4/22,小学校の校庭が芝生なのでとても良い,5
2024/4/23,ホームページからアンケートを投稿できるようにしてほしい,2
2024/4/24,公園に遊び道具が少なすぎる,1
2024/4/25,もっと公園を増やしてほしい,2
2024/4/26,駅前に駐車場が少ない、不便,1
